"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G01010",374.454142618132,0.166393690787731,0.376258662865553,0.442232185487748,0.658321197877188,0.995357432799861
"AT1G01020",84.5870157376307,0.0869147133380273,0.622429963199495,0.139637739949499,0.888946220567319,0.996150562299559
"AT1G01030",25.6069086341768,-0.319064021963073,0.788667777315855,-0.404560742989871,0.685800419687838,0.995818004740788
"AT1G01040",517.88625988695,-0.495676722453421,0.349898036517369,-1.41663190621767,0.156590575046222,0.788123845234093
"AT1G01050",477.899643138077,0.0851096641948484,0.280063923409088,0.303893708117947,0.761208871440685,0.995818004740788
"AT1G01060",551.342773728593,-0.497166749839835,0.31070106422582,-1.60014498527269,0.109566423354632,0.704236012610979
"AT1G01070",165.839578453082,0.492943364492347,0.438293097401402,1.1246888609813,0.26072090353264,0.895047657441122
"AT1G01080",36.7022758536046,-0.00500974714785528,0.657954165329446,-0.00761412787066533,0.993924863629022,0.999324116178341
"AT1G01090",1131.87888141694,0.627705954082662,0.369981504531346,1.69658738719325,0.0897746960341729,0.651672852736019
"AT1G01100",1551.5397150141,0.331803778866058,0.332015862931352,0.999361223095122,0.317619737216617,0.938651560779972
"AT1G01110",63.789187729284,0.00634096618047616,0.584255679537654,0.0108530672487327,0.991340675200849,0.999324116178341
"AT1G01120",960.138304760334,0.739358546030732,0.488079770959258,1.51483136573683,0.129815115100723,0.74250366883809
"AT1G01130",1.36861010732866,-0.649447847754271,4.12856945484936,-0.157305782270767,0.875003863402329,NA
"AT1G01140",17.2211180948658,0.449752908820883,1.01721534296375,0.44214129479259,0.658386963794026,0.995357432799861
"AT1G01150",0.533605851180268,2.66334497817062,4.89433603948106,0.544168801791756,0.586325318495914,NA
"AT1G01160",243.999879078081,-0.0931529028507697,0.323737560121122,-0.287742030352974,0.773544214401898,0.995912776838911
"AT1G01170",177.955757284313,-0.934080705765436,0.42296429700015,-2.2084150184551,0.027215355823195,0.358458988195621
"AT1G01180",138.333376917082,0.0551340294495566,0.508247913327582,0.108478614478877,0.913616043571219,0.996150562299559
"AT1G01190",389.508318258394,1.38435927666899,1.75291119905192,0.789748663490616,0.429674565320294,0.96735964644842
"AT1G01200",13.2110784218048,-0.789933013042933,1.16376357650125,-0.678774477044381,0.497280767889792,0.974803698157392
"AT1G01210",135.193787806703,0.0770299060982161,0.42132671313826,0.182827016887814,0.854933749475788,0.996150562299559
"AT1G01220",173.590852198888,0.555287322201104,0.383676510037999,1.44727995504887,0.147818530882192,0.775659077582614
"AT1G01225",50.8558348544523,0.742283525362377,0.587248093690719,1.2640032949231,0.206228844320827,0.844750938256629
"AT1G01230",419.950853156926,0.193874406518378,0.369674747142984,0.524445902828714,0.599968436756225,0.987507303752627
"AT1G01240",206.893117038022,-0.126946916058909,0.340987316180369,-0.372292193976384,0.709675309909411,0.995818004740788
"AT1G01250",0,NA,NA,NA,NA,NA
"AT1G01260",251.973356709952,-0.0134576001809605,0.324437070654008,-0.0414798473979326,0.966913358471841,0.998788360897592
"AT1G01280",0,NA,NA,NA,NA,NA
"AT1G01290",114.546815044583,-0.140489458651114,0.548909483759394,-0.255942851795753,0.797994965377891,0.995912776838911
"AT1G01300",266.837348402221,0.218557556184856,0.416749726839796,0.524433591935796,0.599976997393167,0.987507303752627
"AT1G01305",0,NA,NA,NA,NA,NA
"AT1G01310",0.717008706507185,1.15065166811738,4.88915145823787,0.235347928561022,0.81393869799393,NA
"AT1G01320",225.048909211283,-0.067418528395229,0.416554274208547,-0.161848125369315,0.871425454047544,0.996150562299559
"AT1G01335",0,NA,NA,NA,NA,NA
"AT1G01340",701.158827377276,1.78250409039244,0.615413843160058,2.89643158047851,0.00377432934797868,0.110442761622801
"AT1G01350",263.83157286936,0.0804817302123129,0.346626479601906,0.23218575310445,0.81639374279971,0.995912776838911
"AT1G01355",0.262536722433669,-1.33719063887338,4.97534518814371,-0.268763389937229,0.788111767636057,NA
"AT1G01360",441.027448489218,0.151220379709349,0.37379710276742,0.404552037963332,0.685806819549231,0.995818004740788
"AT1G01370",19.3616127384145,-0.42089459940825,0.93697467130186,-0.449205952198737,0.653283094103964,0.995357432799861
"AT1G01380",25.1983029125853,0.0880721383335644,0.762745680582984,0.115467239704653,0.90807478569059,0.996150562299559
"AT1G01390",1.31268361216835,-3.70438784445877,4.82308883345394,-0.768052999307077,0.442455698512411,NA
"AT1G01400",0.200442288718041,-1.14015546083758,4.987752451342,-0.228591028115441,0.819186798479686,NA
"AT1G01410",0,NA,NA,NA,NA,NA
"AT1G01420",77.9749729828685,-0.0371416704277571,0.912058498205783,-0.0407229037400812,0.967516802194417,0.998788360897592
