"","SRR17382349","SRR17382351","SRR17382366","SRR17382370"
"AT1G01010",477.673319931604,317.714820396441,314.326142441019,388.102287703467
"AT1G01020",66.9560565788685,53.3407752897718,107.081499195502,110.96973188638
"AT1G01030",25.7523919006854,33.0008333721657,19.8898970170934,23.7845122467626
"AT1G01040",349.040437537979,550.013693040576,510.280310338315,662.21059863093
"AT1G01050",482.171491360697,484.151320113377,501.881861466401,443.393899611834
"AT1G01060",393.147307694741,664.730011959756,521.333025530854,626.16074972902
"AT1G01070",194.262234812407,170.295530693855,193.832679750567,104.9678685555
"AT1G01080",37.6371573968678,40.714876432205,35.7047413947977,32.7523281905477
"AT1G01090",1747.56027274269,876.731037608486,1001.13661248671,902.087602829875
"AT1G01100",1494.48315515132,1616.74530703057,1964.02272260734,1130.90767526716
"AT1G01110",46.9888846665456,59.9234225106365,80.7746327678632,67.4698109720907
"AT1G01120",1711.85667921607,805.55013532806,690.221141783655,632.925262713551
"AT1G01130",2.14210351253201,3.33233691678261,0,0
"AT1G01140",21.8806825445347,20.9394454820363,17.9883521636588,8.07599218923324
"AT1G01150",0,0,2.13442340472107,0
"AT1G01160",243.681400046966,252.509594115257,228.606769651129,251.201752498969
"AT1G01170",143.789085201743,202.429516101255,101.032042855312,264.572384978941
"AT1G01180",185.282890273822,123.228889966952,96.69872032173,148.123007105823
"AT1G01190",1091.10413585232,217.662321334047,35.4268893544368,213.839926492771
"AT1G01200",10.1300032987153,25.2396547986677,9.29203315667213,8.18262243316403
"AT1G01210",119.362306604034,140.975128143665,158.136293444376,122.301423034736
"AT1G01220",184.835304277116,151.211946836161,228.473127951601,129.843029730675
"AT1G01225",69.908743464594,42.407208398746,57.5018842886082,33.6055032658611
"AT1G01230",440.476697495949,480.014550811794,456.021724584845,303.290439735115
"AT1G01240",189.130423271456,214.64197690357,206.400868845654,217.399199131408
"AT1G01250",0,0,0,0
"AT1G01260",264.185069887268,252.311145483013,237.376064840288,254.02114662924
"AT1G01280",0,0,0,0
"AT1G01290",75.4412528227297,143.159803841817,142.62633362022,96.9598698935643
"AT1G01300",257.49768709648,306.558873289166,316.819234880148,186.473598343088
"AT1G01305",0,0,0,0
"AT1G01310",0,0.846572869686368,2.02146195634237,0
"AT1G01320",239.716741403567,178.539937405279,199.580022724314,282.358935311972
"AT1G01335",0,0,0,0
"AT1G01340",1682.46028034869,229.789840962355,490.323536656087,402.061651541976
"AT1G01350",245.962013386337,232.473620857627,296.186482169384,280.70417506409
"AT1G01355",0,0,0,1.05014688973468
"AT1G01360",354.671132620302,427.206331069327,573.443109832426,408.789220434815
"AT1G01370",13.0993382186766,28.6758755000764,20.08048305736,15.5907541775451
"AT1G01380",25.8370178637655,24.4139055205936,26.0959209873142,24.4463672786679
"AT1G01390",0,0,0,5.25073444867338
"AT1G01400",0,0.801769154872164,0,0
"AT1G01410",0,0,0,0
"AT1G01420",27.7440339201456,118.985217610775,126.31529921616,38.855341184393
"AT1G01430",122.003613321259,178.17313537109,154.31654769494,145.112287318276
"AT1G01440",403.4403985142,323.83880470799,341.664613292691,354.722572439297
"AT1G01450",0,0,0,1.05014688973468
"AT1G01453",11.2381988058977,10.0266001131165,5.18645307639474,1.02666886633584
"AT1G01460",0,0,0,0
"AT1G01470",381.008891160625,417.103942231406,494.654741382862,540.93820658443
"AT1G01480",64.4518252682958,17.3602791375212,10.6890191195315,11.9197708871854
"AT1G01490",662.758637215821,999.385151653222,748.094432192184,734.417393766231
"AT1G01500",124.411805633701,170.131444967275,184.020922646636,128.11829914888
"AT1G01510",352.152054435252,345.539388802342,326.580050244357,386.667896883179
"AT1G01520",57.3176266657055,5.06045284204356,53.9835695633546,6.2145454264878
"AT1G01530",0,0,0,0
"AT1G01540",214.601127929599,292.188133109452,372.346134790636,229.606070309207
"AT1G01550",4364.35216535119,3707.70682951651,2918.25562613533,3792.52734164817
"AT1G01560",563.56538465494,25.6113302328713,4.18115808321836,21.7038076135013
"AT1G01570",55.3433856518767,35.2334626463409,20.7596987964951,38.3254521778703
"AT1G01580",1106.76781336546,314.503057064373,2312.3719322033,397.058712894431
"AT1G01590",0,0,0,0
"AT1G01600",299.81486542015,31.1315009738644,92.5215057225254,17.6422539697135
"AT1G01610",1242.23787977005,422.566452156387,722.745718724239,383.872146004436
"AT1G01620",3588.8084232793,4408.8215512528,3422.22267186411,3625.32178345276
"AT1G01630",389.58997531075,239.619912661373,336.015249995483,294.3071755989
"AT1G01640",510.221447269755,308.781914975904,526.687365598977,391.767842406814
"AT1G01650",533.552226148242,390.552857162453,435.989481782695,417.06190394138
"AT1G01660",19.0350742224097,32.0720050467579,7.34051246008268,22.7838536804079
"AT1G01670",48.2580952972132,96.3796283725065,31.6010708273602,32.0459318191102
"AT1G01680",834.238537985742,48.8497864814874,11.3485521364149,41.9111297780685
"AT1G01690",71.9668057083551,78.5326409705371,36.9291980358217,65.875298582038
"AT1G01695",1.11320898765706,6.57481920358011,0,4.0967445114852
"AT1G01700",4.44504928893643,2.66302732898343,9.19845639130857,1.10208245344523
"AT1G01710",252.275202337757,248.142208696895,308.122142304293,258.087922664498
"AT1G01715",27.7567312206335,27.0725586154843,20.7656807739614,25.9867127857143
"AT1G01720",841.132368821987,995.323820915032,725.365097038239,1120.45640186817
"AT1G01725",105.769895656683,113.324233922053,87.2581445889875,146.823428559556
"AT1G01730",432.265156952181,347.652876537367,331.294942121579,482.633478499816
"AT1G01740",46.3441995582511,25.9595724529085,70.6684922047092,73.3316607698789
"AT1G01750",196.515114999197,145.583918280517,108.855713889262,52.5438089219327
"AT1G01760",56.7380288350033,45.3672091948559,65.4161940245445,74.188296876822
"AT1G01770",309.84214129555,291.489402635047,265.050367580198,549.154204978981
"AT1G01780",301.849576393887,237.807546793377,245.44553807755,277.196211765777
"AT1G01790",419.549404951792,175.924099438105,383.359867957249,235.911708413304
"AT1G01800",813.552039812168,1263.14978529022,966.473832549206,867.366542357872
"AT1G01810",1.14476595974099,17.127854727297,6.88984577464028,8.86063755582504
"AT1G01820",1020.25108550472,1057.98462914191,937.151356554818,1457.67031491291
"AT1G01830",102.280177992021,134.886047334869,106.531775092711,141.49942388616
"AT1G01840",2.26847447474148,11.329667789713,5.04079922203387,5.01721699368504
"AT1G01860",53.1347264890615,46.4125660646808,56.7361276658865,86.8504431042647
"AT1G01880",14.5521071061166,16.4273306441013,29.3864368556522,18.6536606953592
"AT1G01900",1.1180076348339,4.08538217535785,7.37315279104546,3.11787432918593
"AT1G01910",545.971768641416,386.509442531948,437.38661790363,392.309757632079
"AT1G01920",176.567191895018,236.809370878397,210.007735837175,252.862672597742
"AT1G01930",107.463747616012,152.786475745424,166.863742111895,195.854805426912
"AT1G01940",148.330984204226,137.500308171533,160.12811580949,105.806332917077
"AT1G01950",203.261735570666,251.1245939411,243.755766930521,203.98131132217
"AT1G01960",1041.4528974047,1001.26530604645,1229.06327633778,1376.00365734736
"AT1G01970",90.8148891848255,62.0232040632366,99.2393059198675,71.2400154632446
"AT1G01980",0,0,0,0
"AT1G01990",158.301482060473,133.105484940959,138.371063553892,152.309236029168
"AT1G02000",104.109818229801,126.522934426032,89.1930743201774,157.497659902844
"AT1G02010",69.20224169073,39.1369674110127,76.8133585576504,52.7829730418275
"AT1G02020",58.6413908783775,68.346672630234,55.4350817815403,107.034472215852
"AT1G02030",14.5508452437772,11.4948918344095,11.54759982709,8.29218960807426
"AT1G02040",1.13885125992678,0,1.04287822261149,0
"AT1G02050",44.8907746921748,61.4568120242698,44.7884421999991,89.6161605777953
"AT1G02060",100.710224346879,132.04426492959,116.615012717907,151.424674704484
"AT1G02065",0,0,0,0
"AT1G02067",0,0,0,0
"AT1G02070",1.169738607952,0,2.06929176174843,1.03055244562864
"AT1G02080",1376.37167178059,1036.60878364339,1779.32482952454,1797.80609853118
"AT1G02090",404.272805233386,348.788757709071,324.017243780538,322.032543349342
"AT1G02100",612.293030682106,733.081858186907,719.068870227657,871.956801230338
"AT1G02110",87.2615399712114,70.4622977999231,104.079780830793,86.1311601995594
"AT1G02120",1027.11490291094,971.737892898038,937.930336727375,1325.05848065617
"AT1G02130",862.150400834355,642.2648313363,626.304188161548,750.439742566369
"AT1G02140",917.215375595276,1202.35152715711,1055.85089789163,949.102378202568
"AT1G02145",161.240314044177,184.104581227591,210.694056727588,226.110346105306
"AT1G02150",219.495847484107,312.694901514213,238.986716180986,283.66398998765
"AT1G02160",88.8749059221555,87.0617232535665,110.682969524231,73.3852502221901
"AT1G02170",263.897630427896,186.539234228468,194.41541551909,161.480751339791
"AT1G02180",28.2743587605588,29.2437924644285,23.394959466546,15.1596532002231
"AT1G02190",0,0,0,0
"AT1G02205",7.06713466525887,5.53126789672038,12.0188862058464,1.1621451101818
"AT1G02210",0,0,0,0
"AT1G02220",825.731223268511,56.3967272108712,67.7667220950421,254.617323765761
"AT1G02230",41.5545842744975,26.6618312538832,2.07859787101765,10.2825848682635
"AT1G02250",0,0,3.19051850859274,3.1614176260492
"AT1G02260",171.894835308382,213.61763440333,36.0339326805964,178.327279280622
"AT1G02270",218.598955950589,175.216877918823,142.125584379721,158.017260052175
"AT1G02280",346.197468826415,616.258174427281,594.825741375674,391.928386001036
"AT1G02290",79.5809634427965,108.203510013624,93.0482967112413,89.8834915484995
"AT1G02300",64.003024496891,381.244349671695,200.711438734812,135.798676317315
"AT1G02305",1946.7729223115,2348.60805811876,1844.52616390703,2310.25446348091
"AT1G02310",195.563200247381,107.695020386628,53.9239178289287,75.0241296211258
"AT1G02320",0,0.801769154872164,0,0
"AT1G02330",374.873135369447,277.004350551126,336.405434697288,329.21505806717
"AT1G02335",114.058936637834,180.2349665353,125.695085728544,96.3708919762762
"AT1G02340",622.725236906875,938.344761859854,1014.73283009931,1460.62027212732
"AT1G02350",3.589473987554,0.946528815174932,1.85802839612635,0.95046089487515
"AT1G02360",970.255195573653,722.266787858942,368.733174772705,477.301579854901
"AT1G02370",135.501663319034,141.520301709604,134.177935864421,130.45173311567
"AT1G02380",42.721214331241,9.2063804600698,19.6861752110853,21.5404773894517
"AT1G02390",11.1951109356724,14.7912457201492,6.29514740633121,7.25241651521663
"AT1G02400",295.8494992915,332.496801968229,364.768718185384,307.798570003529
"AT1G02405",0,0,0,0
"AT1G02410",188.686940758141,183.26622499827,193.984630976327,176.722441234418
"AT1G02420",34.7949560200451,39.8869209066881,49.9766637632369,51.4872988164594
"AT1G02430",58.7102900626289,26.5193038378604,48.8605879686849,19.9773018773582
"AT1G02440",4.47326594012228,5.15431620994318,3.06012404864793,1.02046399936609
"AT1G02450",1.11288432758402,0,0,0
"AT1G02460",27.9873225822294,10.6818272622829,25.1817874397123,12.4331848591338
